,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type
0,AKB48_Finance,0x7d8a133b3fdda2bdc340b6402943110dae3f299e,https://etherscan.io/token/0x7d8a133b3fdda2bdc340b6402943110dae3f299e,Etherium,21/06/2021 16:03:16,1000000000000,88,286,9,New
1,Official Mars Token,0x4e30910845f0cb4f66781b35c832eafc09774022,https://etherscan.io/token/0x4e30910845f0cb4f66781b35c832eafc09774022,Etherium,21/06/2021 16:03:16,5000000000000,22,95,18,New
2,ePlatinum,0x57b3140f522a3ef2f98c046f78e0d03075908591,https://etherscan.io/token/0x57b3140f522a3ef2f98c046f78e0d03075908591,Etherium,21/06/2021 16:03:16,3020412530.765749597562019156,158,907,18,New
3,Football Inu,0x48a3d9510f7c2aa61a285ccb4eaa5ba072692468,https://etherscan.io/token/0x48a3d9510f7c2aa61a285ccb4eaa5ba072692468,Etherium,21/06/2021 16:03:16,1000000000000,1108,3573,9,New
4,Cookie Inu,0x22709596fc3c3f3ad865b5a52f66af156aca32a9,https://etherscan.io/token/0x22709596fc3c3f3ad865b5a52f66af156aca32a9,Etherium,21/06/2021 16:03:16,100000000000000000,26,57,9,New
5,Zet Inu,0xbc130b1cd40c722f54baaa1c92651dd630d73d99,https://etherscan.io/token/0xbc130b1cd40c722f54baaa1c92651dd630d73d99,Etherium,21/06/2021 16:03:16,1000000000000,224,790,9,New
6,Nabox,0x630bc7dd0abfc2d196289ce09db947dd2cafae7c,https://etherscan.io/token/0x630bc7dd0abfc2d196289ce09db947dd2cafae7c,Etherium,21/06/2021 16:03:16,21286653149.036859109363312254,254 ( 22.925%),717,18,New
7,Gucci_Inu,0xcdd475d3e64ef21b5dd8b9920143d5b0b19f42c2,https://etherscan.io/token/0xcdd475d3e64ef21b5dd8b9920143d5b0b19f42c2,Etherium,21/06/2021 16:03:16,1000000000000000,2,3,9,New
8,MansionCash,0x4a013d18330880167a2507bc7b2a90bd2c912ec7,https://etherscan.io/token/0x4a013d18330880167a2507bc7b2a90bd2c912ec7,Etherium,21/06/2021 16:03:16,98506129548726.873378506,172,963,9,New
9,Vara  Inu,0xb798ab0b48a9fd695e9e3b501ecab7a2fac4a6c2,https://etherscan.io/token/0xb798ab0b48a9fd695e9e3b501ecab7a2fac4a6c2,Etherium,21/06/2021 16:03:16,1000000000000000,17,31,18,New
10,Be Loaded Finance,0xa1b6fc4f2ab4e41c49e92121dc3a1ebc7549b695,https://etherscan.io/token/0xa1b6fc4f2ab4e41c49e92121dc3a1ebc7549b695,Etherium,21/06/2021 16:03:16,1000000000,33,47,18,New
11,Rolar  Inu,0x31925997851d0516f3d603150b2ee00b41ba899c,https://etherscan.io/token/0x31925997851d0516f3d603150b2ee00b41ba899c,Etherium,21/06/2021 16:03:16,1000000000000000,14,22,18,New
12,Rising Inu,0x23a76287b0a1f96d2409dacd35d1cdc5d90d7b1d,https://etherscan.io/token/0x23a76287b0a1f96d2409dacd35d1cdc5d90d7b1d,Etherium,21/06/2021 16:03:16,200000000000000,7,13,5,New
13,PolkaDoge,0x339a112b5919bcf5311cda0fe176cc69b67008cc,https://etherscan.io/token/0x339a112b5919bcf5311cda0fe176cc69b67008cc,Etherium,21/06/2021 16:03:16,1000000000000000,44 ( -2.273%),103,9,New
14,DUMB Token,0xbc2878faa8a634ab92b1e8194cca9a88db52e8df,https://etherscan.io/token/0xbc2878faa8a634ab92b1e8194cca9a88db52e8df,Etherium,21/06/2021 16:03:16,123456789,13,17,18,New
15,Ever Rising Inu,0xe0fe35312c8c8a2d5a70bd594ec8e6335f6b45dd,https://etherscan.io/token/0xe0fe35312c8c8a2d5a70bd594ec8e6335f6b45dd,Etherium,21/06/2021 16:03:16,500000000000000,81,176,5,New
16,Hishu Inu Finance,0x89c58d698066c84caede98640fcd1ed01d74fe50,https://etherscan.io/token/0x89c58d698066c84caede98640fcd1ed01d74fe50,Etherium,21/06/2021 16:03:16,1000000000000000,53,83,9,New
17,EtherDog,0x253d91dd6ea22d0d50220fd84ccba14047e5e644,https://etherscan.io/token/0x253d91dd6ea22d0d50220fd84ccba14047e5e644,Etherium,21/06/2021 16:03:16,1000000000000000,32,51,9,New
18,Konomi Inu,0x1ddc2516f7799710507c09a0df244f94bf04c285,https://etherscan.io/token/0x1ddc2516f7799710507c09a0df244f94bf04c285,Etherium,21/06/2021 16:03:16,1000000000000,4,6,18,New
19,SuperAidi Inu,0x161eeb1463b26dd81f07e94076f2175dd3be052a,https://etherscan.io/token/0x161eeb1463b26dd81f07e94076f2175dd3be052a,Etherium,21/06/2021 16:03:16,1000000000000,97,125,18,New
20,Quilboar Coin,0xd5ba1b7a104ac7623463d41fa9f1303c944ba30d,https://etherscan.io/token/0xd5ba1b7a104ac7623463d41fa9f1303c944ba30d,Etherium,21/06/2021 16:03:16,50000000000,21,25,18,New
21,Thunder Finance,0x4519817b4801c39936d4e5b793cf93eeaf5c6936,https://etherscan.io/token/0x4519817b4801c39936d4e5b793cf93eeaf5c6936,Etherium,21/06/2021 16:03:16,1000000000000000,36,64,9,New
22,Wrapped BCH,0xf7b4d113c5da1c99bdb64ca4b538b92cfc52f3dc,https://etherscan.io/token/0xf7b4d113c5da1c99bdb64ca4b538b92cfc52f3dc,Etherium,21/06/2021 16:03:16,21000000,8,18,18,New
23,EverRiseCoin,0x61548411dfa6e522b7e5b83e1f85291b017312ea,https://etherscan.io/token/0x61548411dfa6e522b7e5b83e1f85291b017312ea,Etherium,21/06/2021 16:03:16,1000000000000000,34,35,18,New
24,BotzCoin,0x4e58c6d34d1e055e8d3943ffb1fed662d0aa9c10,https://etherscan.io/token/0x4e58c6d34d1e055e8d3943ffb1fed662d0aa9c10,Etherium,21/06/2021 16:03:16,999999999999999,9,28,18,New
25,Ape Finance ð¦,0xefb0e363fec9e04999a9b8803421d27765258ffd,https://etherscan.io/token/0xefb0e363fec9e04999a9b8803421d27765258ffd,Etherium,21/06/2021 16:03:16,1000000000000000,65,387,9,New
26,eHODL,0xcccdb294b52fc00051bf694fc798efee33bc0358,https://etherscan.io/token/0xcccdb294b52fc00051bf694fc798efee33bc0358,Etherium,21/06/2021 16:03:16,1000000000000,11,13,18,New
27,Phoenix Token,0x2c621e8f188fc0fcce5d0307c83e9c4dcfd3c08c,https://etherscan.io/token/0x2c621e8f188fc0fcce5d0307c83e9c4dcfd3c08c,Etherium,21/06/2021 16:03:16,50000000000,38,45,18,New
