,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type
0,ðSHIITAKE (T.ME/SHIITAKETOKEN)ð,0x73cd0f2fc19de23de7b6709c64b2fa64a70eaafc,https://etherscan.io/token/0x73cd0f2fc19de23de7b6709c64b2fa64a70eaafc,Etherium,22/06/2021 15:09:16,1000000000000000,158,1447,18,New
1,"RealT Token - 15777 Ardmore St, Detroit, MI 48227",0xfe17c3c0b6f38cf3bd8ba872bee7a18ab16b43fb,https://etherscan.io/token/0xfe17c3c0b6f38cf3bd8ba872bee7a18ab16b43fb,Etherium,22/06/2021 15:09:16,1300,263,325,18,New
2,Coop Network,0x689cf5f8dd09bbb4417514c88909bb64eba2547d,https://etherscan.io/token/0x689cf5f8dd09bbb4417514c88909bb64eba2547d,Etherium,22/06/2021 15:09:16,100000000,173,427,18,New
3,OXYDEV,0x33c8517e8b1beefd4a5275ab72acf39cd18331a3,https://etherscan.io/token/0x33c8517e8b1beefd4a5275ab72acf39cd18331a3,Etherium,22/06/2021 15:09:16,200000000,152,609,18,New
4,EsportsPro,0x29c56e7cb9c840d2b2371b17e28bab44ad3c3ead,https://etherscan.io/token/0x29c56e7cb9c840d2b2371b17e28bab44ad3c3ead,Etherium,22/06/2021 15:09:16,750000000,7 ( 14.286%),9,18,New
5,YFC,0xc6ff7eac464c99ff0e1ad8bcfd0ab0cebe08c9a3,https://etherscan.io/token/0xc6ff7eac464c99ff0e1ad8bcfd0ab0cebe08c9a3,Etherium,22/06/2021 15:09:16,20000,111,1979,18,New
6,EverTop,0xd7bdb58dd33826b1865c938830d86c4a871b7088,https://etherscan.io/token/0xd7bdb58dd33826b1865c938830d86c4a871b7088,Etherium,22/06/2021 15:09:16,1000000000000000000,644,1615,9,New
7,Solid,0x5011d48d4265b6fb8228600a111b2faa1fda3139,https://etherscan.io/token/0x5011d48d4265b6fb8228600a111b2faa1fda3139,Etherium,22/06/2021 15:09:16,1000000000,3,4,18,New
8,BitSpawn Token,0xe516d78d784c77d479977be58905b3f2b1111126,https://etherscan.io/token/0xe516d78d784c77d479977be58905b3f2b1111126,Etherium,22/06/2021 15:09:16,1000000000,1800 ( 2.275%),4243,18,New
9,Forever Swap,0xcf841ca09bf31ad0f37a139c948aab2480abcdea,https://etherscan.io/token/0xcf841ca09bf31ad0f37a139c948aab2480abcdea,Etherium,22/06/2021 15:09:16,80000000000000,43,65,5,New
10,Internal Retard Services,0xe65ff9442ffdc9aaec4ef52bd0c664779a51e5d9,https://etherscan.io/token/0xe65ff9442ffdc9aaec4ef52bd0c664779a51e5d9,Etherium,22/06/2021 15:09:16,1000000000000,319,1302,9,New
