,Token Name,Address,Address Url,Crypto Type,Time Stamp,Max Supply,# of Holder,Transfers,Decimals,Token Type
0,Vinyl,0xc17b6c92bb728259ca2f76c88a4a48ac077587f7,https://etherscan.io/token/0xc17b6c92bb728259ca2f76c88a4a48ac077587f7,Etherium,01/06/2021 17:06:16,5000000,73,162,18,New
1,eSafe  https://t.me/EthSafeToken,0xa10deec94ab4cdb8a80ca3bf6037feee221109e4,https://etherscan.io/token/0xa10deec94ab4cdb8a80ca3bf6037feee221109e4,Etherium,01/06/2021 17:06:16,100000000000000,18,26,9,New
2,Moon Inu.finance,0x4ccedc93ec1cd1bebb09cdb7d516cdcabc04774a,https://etherscan.io/token/0x4ccedc93ec1cd1bebb09cdb7d516cdcabc04774a,Etherium,01/06/2021 17:06:16,275000000,4,5,6,New
3,WAGMIï¸,0x23e5f6c2f6753842518a65462762cb6d50f85280,https://etherscan.io/token/0x23e5f6c2f6753842518a65462762cb6d50f85280,Etherium,01/06/2021 17:06:16,1000000000000,32,82,9,New
4,Shiba Cookies,0xb7f3251f52b6624bfdc55a3be05a5e9eeb55ed4c,https://etherscan.io/token/0xb7f3251f52b6624bfdc55a3be05a5e9eeb55ed4c,Etherium,01/06/2021 17:06:16,1000000000000,103,174,9,New
5,Cavapoo,0x456d8f0d25a4e787ee60c401f8b963a465148f70,https://etherscan.io/token/0x456d8f0d25a4e787ee60c401f8b963a465148f70,Etherium,01/06/2021 17:06:16,10000000000000000,571,1251,9,New
6,xTesla Finance,0x8afd4ce7633985e93a1d0def08dc81b9bc66fcaf,https://etherscan.io/token/0x8afd4ce7633985e93a1d0def08dc81b9bc66fcaf,Etherium,01/06/2021 17:06:16,100000000000,7,25,18,New
7,mrshiba.finance,0xbbafafa5c32c6d0513ffb899d6509fd93b2e992f,https://etherscan.io/token/0xbbafafa5c32c6d0513ffb899d6509fd93b2e992f,Etherium,01/06/2021 17:06:16,100000000000000,75,194,9,New
8,Karate Inu,0x97ce409302fdddda282741a0f0cafdd1cabd7f8c,https://etherscan.io/token/0x97ce409302fdddda282741a0f0cafdd1cabd7f8c,Etherium,01/06/2021 17:06:16,1000000000000,16,19,18,New
9,EthBOMB,0x0285e641ed4f34e70b9eb61dbd4e465c5767581b,https://etherscan.io/token/0x0285e641ed4f34e70b9eb61dbd4e465c5767581b,Etherium,01/06/2021 17:06:16,90166094268.778510466,17,24,9,New
10,www.superinu.finance,0x8e2b11b6d3c03b6c9a9de498ca8f14ca8a314a46,https://etherscan.io/token/0x8e2b11b6d3c03b6c9a9de498ca8f14ca8a314a46,Etherium,01/06/2021 17:06:16,10000000000000,17,37,18,New
11,UnSafeMoon,0x8a1b3a817877137ba9462459cc6e4b6af8879f14,https://etherscan.io/token/0x8a1b3a817877137ba9462459cc6e4b6af8879f14,Etherium,01/06/2021 17:06:16,100000000000000,8,13,9,New
12,Ethereum Space,0x0cc18c8c6f9072a7419ef6b80c79ca97540c14d7,https://etherscan.io/token/0x0cc18c8c6f9072a7419ef6b80c79ca97540c14d7,Etherium,01/06/2021 17:06:16,1000000000000000,7,6,18,New
13,HODL inu,0x95eb3c651b8212362a7c1dccc9e0e0240eba9471,https://etherscan.io/token/0x95eb3c651b8212362a7c1dccc9e0e0240eba9471,Etherium,01/06/2021 17:06:16,1000000000000,38,122,9,New
14,Ethereum Dragon,0x46eef6df28e501799f2c12eb44f49dc2f1d09049,https://etherscan.io/token/0x46eef6df28e501799f2c12eb44f49dc2f1d09049,Etherium,01/06/2021 17:06:16,10000000000000,11,13,18,New
15,Star Foxx,0x31d457e7bcff5bc9a5ef86e6a5ea1db5b5c3bfb0,https://etherscan.io/token/0x31d457e7bcff5bc9a5ef86e6a5ea1db5b5c3bfb0,Etherium,01/06/2021 17:06:16,1000000000000,156,629,18,New
16,Rich Doge,0x582d66c6d81ee943566f41895475f47f7ccf9f90,https://etherscan.io/token/0x582d66c6d81ee943566f41895475f47f7ccf9f90,Etherium,01/06/2021 17:06:16,1000000000000000,9,13,18,New
17,Koji,0x1c8266a4369af6d80df2659ba47b3c98f35cb8be,https://etherscan.io/token/0x1c8266a4369af6d80df2659ba47b3c98f35cb8be,Etherium,01/06/2021 17:06:16,1000000000000,3372,6412,18,New
18,EtherChibi,0xa84308c5d8522342e5fa86db98609dd08bf71f12,https://etherscan.io/token/0xa84308c5d8522342e5fa86db98609dd08bf71f12,Etherium,01/06/2021 17:06:16,100000000000000,10,14,18,New
19,Nyan Kanna,0x5ba5eb6c55028adceb7f82d8dd50fc3f37305db7,https://etherscan.io/token/0x5ba5eb6c55028adceb7f82d8dd50fc3f37305db7,Etherium,01/06/2021 17:06:16,100000000000000,6,10,9,New
20,EthElon | t.me/EthElonToken,0xa47861219642c8214d4f5f21cf9891f238ca07cb,https://etherscan.io/token/0xa47861219642c8214d4f5f21cf9891f238ca07cb,Etherium,01/06/2021 17:06:16,1000000000000,250,1862,9,New
21,eMooncat,0xea752e880490d1fccaf7b392693e1dc6d64696d8,https://etherscan.io/token/0xea752e880490d1fccaf7b392693e1dc6d64696d8,Etherium,01/06/2021 17:06:16,100000000000000,5,9,18,New
22,Chibi Inu,0x9fc77d85d1facb95a60fa2950ac612640f07e2ec,https://etherscan.io/token/0x9fc77d85d1facb95a60fa2950ac612640f07e2ec,Etherium,01/06/2021 17:06:16,100000000000000,640,1686,9,New
23,Toromi Inu,0x9d0e32d6c58d0c01f00e15bd7b3006193d95de60,https://etherscan.io/token/0x9d0e32d6c58d0c01f00e15bd7b3006193d95de60,Etherium,01/06/2021 17:06:16,10000000000000,2,8,18,New
24,Ethereum West Always,0x6879fbe037be059abe26a381202a9f30b6411481,https://etherscan.io/token/0x6879fbe037be059abe26a381202a9f30b6411481,Etherium,01/06/2021 17:06:16,1000000000000,10,13,18,New
25,Ethereum Rocket,0x0e0d5f125543fdbc3870ac44108bcb82f5edff1d,https://etherscan.io/token/0x0e0d5f125543fdbc3870ac44108bcb82f5edff1d,Etherium,01/06/2021 17:06:16,10000000000000000,260,1240,18,New
26,SMILE DOGE,0x1f051d2fd265899b8dece589b20f0cb0a5ab509d,https://etherscan.io/token/0x1f051d2fd265899b8dece589b20f0cb0a5ab509d,Etherium,01/06/2021 17:06:16,1000000000000000,5,9,18,New
27,TheBridge,0x391612e67b0252e0d1e1460501b41545931faef9,https://etherscan.io/token/0x391612e67b0252e0d1e1460501b41545931faef9,Etherium,01/06/2021 17:06:16,5000000000,20,54,18,New
28,Carbon GEMS,0xe74ac81b14021d0cfb835f269f48f25918c5cae6,https://etherscan.io/token/0xe74ac81b14021d0cfb835f269f48f25918c5cae6,Etherium,01/06/2021 17:06:16,1000000000,2450,3798,18,New
29,E2P Group,0xa0b84460a1e78339692c7463009c35f0b9a6ae4c,https://etherscan.io/token/0xa0b84460a1e78339692c7463009c35f0b9a6ae4c,Etherium,01/06/2021 17:06:16,5000000000,556,625,18,New
30,Jejudoge,0x939a7a577d93ad29b64c1595b1284ce660a479b9,https://etherscan.io/token/0x939a7a577d93ad29b64c1595b1284ce660a479b9,Etherium,01/06/2021 17:06:16,1000000000000000,2000,10238,18,New
31,Ethereum Ethereum,0xefbf37c00619ad3a8b2f15512d0e8cdf41645760,https://etherscan.io/token/0xefbf37c00619ad3a8b2f15512d0e8cdf41645760,Etherium,01/06/2021 17:06:16,1000000000000,55,342,9,New
32,safebooty.xyz ð,0x83b15b3bd4f092483c9194815fba63829b28b910,https://etherscan.io/token/0x83b15b3bd4f092483c9194815fba63829b28b910,Etherium,01/06/2021 17:06:16,1000000000000,28,166,18,New
